kind,log10_guesses,gn_score,comp_score,comp_strong,entropy_bits,password_len
diceware-4,21.963225279627483,4,4,False,182.3619345302171,31
diceware-4,22.11180538466155,4,4,False,205.89250672766445,35
diceware-4,22.23037535936268,4,4,False,182.3619345302171,31
diceware-4,22.905184543841322,4,4,False,170.5966484314934,29
diceware-4,21.40019581063682,4,4,False,200.00986367830262,34
diceware-4,20.64388927175108,4,4,False,152.94871928340788,26
diceware-4,20.769024584134893,4,4,False,200.00986367830262,34
diceware-4,23.30137543907594,4,4,False,200.00986367830262,34
diceware-4,21.764030893449473,4,4,False,188.24457757957893,32
diceware-4,21.792896586117795,4,4,False,182.3619345302171,31
diceware-4,22.26485595988743,4,4,False,182.3619345302171,31
diceware-4,23.30746741858277,4,4,False,182.3619345302171,31
diceware-4,21.471779016830634,4,4,False,205.89250672766445,35
diceware-4,22.50784262221747,4,4,False,194.12722062894076,33
diceware-4,22.216611928149977,4,4,False,170.5966484314934,29
diceware-4,22.579344604725453,4,4,False,164.71400538213157,28
diceware-4,22.290395911842637,4,4,False,158.83136233276971,27
diceware-4,20.58187972784426,4,4,False,217.65779282638815,37
diceware-4,22.490773585804693,4,4,False,158.83136233276971,27
diceware-4,20.246198695307353,4,4,False,200.00986367830262,34
diceware-4,22.661941586356672,4,4,False,194.12722062894076,33
diceware-4,22.767643868779462,4,4,False,176.47929148085524,30
diceware-4,22.58693789257407,4,4,False,182.3619345302171,31
diceware-4,21.575038082298256,4,4,False,147.06607623404605,25
diceware-4,20.867029036924787,4,4,False,188.24457757957893,32
diceware-4,22.357157940381406,4,4,False,188.24457757957893,32
diceware-4,21.687063296560666,4,4,False,182.3619345302171,31
diceware-4,22.53217584390364,4,4,False,170.5966484314934,29
diceware-4,21.849297877036562,4,4,False,200.00986367830262,34
diceware-4,21.10593108570162,4,4,False,147.06607623404605,25
diceware-4,18.55391468968676,4,4,False,205.89250672766445,35
diceware-4,22.583269858337637,4,4,False,188.24457757957893,32
diceware-4,21.593560466880728,4,4,False,217.65779282638815,37
diceware-4,21.809543136946022,4,4,False,188.24457757957893,32
diceware-4,22.33099974540634,4,4,False,194.12722062894076,33
diceware-4,22.827076866205424,4,4,False,205.89250672766445,35
diceware-4,23.00752055632799,4,4,False,200.00986367830262,34
diceware-4,22.086400769242193,4,4,False,170.5966484314934,29
diceware-4,20.965816837210248,4,4,False,200.00986367830262,34
diceware-4,22.577362332003823,4,4,False,147.06607623404605,25
diceware-4,20.695459616005103,4,4,False,188.24457757957893,32
diceware-4,21.641073848604353,4,4,False,147.06607623404605,25
diceware-4,21.997771190512232,4,4,False,188.24457757957893,32
diceware-4,22.89423729268532,4,4,False,194.12722062894076,33
diceware-4,22.01736854827697,4,4,False,176.47929148085524,30
diceware-4,23.235123962484142,4,4,False,200.00986367830262,34
diceware-4,22.04453683361652,4,4,False,152.94871928340788,26
diceware-4,22.957090063160837,4,4,False,205.89250672766445,35
diceware-4,23.004760090004485,4,4,False,205.89250672766445,35
diceware-4,21.663451723903393,4,4,False,194.12722062894076,33
diceware-4,22.047634438243836,4,4,False,200.00986367830262,34
diceware-4,22.429507186028697,4,4,False,188.24457757957893,32
diceware-4,22.54938637217923,4,4,False,194.12722062894076,33
diceware-4,22.66498749027699,4,4,False,194.12722062894076,33
diceware-4,21.048587501857064,4,4,False,182.3619345302171,31
diceware-4,22.732076806948463,4,4,False,170.5966484314934,29
diceware-4,22.320624674906018,4,4,False,170.5966484314934,29
diceware-4,20.604153227094667,4,4,False,182.3619345302171,31
diceware-4,21.982302021984008,4,4,False,194.12722062894076,33
diceware-4,21.15193505385181,4,4,False,182.3619345302171,31
diceware-4,22.977430029840193,4,4,False,170.5966484314934,29
diceware-4,21.992244753961668,4,4,False,176.47929148085524,30
diceware-4,20.0127142598459,4,4,False,158.83136233276971,27
diceware-4,22.22129329500901,4,4,False,182.3619345302171,31
diceware-4,23.2725124973248,4,4,False,194.12722062894076,33
diceware-4,20.733286868142315,4,4,False,152.94871928340788,26
diceware-4,21.97224363297288,4,4,False,200.00986367830262,34
diceware-4,20.78758402275721,4,4,False,217.65779282638815,37
diceware-4,22.014470833125905,4,4,False,182.3619345302171,31
